FLAGS,VOR-,ETT+,BST+,KNO-,OID-,ERR-,0,0
513.8,B,12,B-,6,6,1,,
513.8,B,13,B+,6,6,1,,
513.8,B,8,OW,,,,,
513.8,B,8,B-,11,11,1,,
513.8,B,9,B+,11,11,1,,
513.8,B,8,BO,0,,,,
513.8,B,9,BI,0,,,,
513.8,B,9,AB,11,11,,,
513.8,B,7,B-,12,12,1,,
513.8,B,8,B+,12,12,1,,
513.8,B,7,BO,0,,,,
513.8,B,8,BI,0,,,,
513.8,B,6,B-,13,13,1,,
513.8,B,7,B+,13,13,1,,
513.8,B,5,B-,14,14,1,,
513.8,B,6,B+,14,14,1,,
513.8,B,5,BO,0,,,,
513.8,B,6,BI,0,,,,
513.8,B,6,AB,14,14,,,
515.2,B,12,BO,0,,,,
515.2,B,13,BI,0,,,,
515.2,B,6,BO,0,,,,
515.2,B,7,BI,0,,,,
520.8,B,13,OW,,,,,
520.8,B,13,B-,6,6,1,,
520.8,B,14,B+,6,6,1,,
520.8,B,7,OW,,,,,
520.8,B,13,BO,0,,,,
520.8,B,14,BI,0,,,,
520.8,B,14,OW,,,,,
520.8,B,14,B-,6,6,2,,
520.8,B,16,B+,6,6,1,,
520.8,B,14,BO,0,,,,
520.8,B,16,BI,0,,,,
520.8,B,16,AB,6,6,,,
547.4,B,6,AE,14,14,,,
547.4,B,6,OW,,,,,
586.7,B,15,AE,3,3,,,
586.7,B,15,OW,,,,,
586.7,B,15,B-,3,3,1,,
586.7,B,18,B+,3,3,1,,
586.7,B,15,BO,0,,,,
586.7,B,18,BI,0,,,,
586.7,B,18,OW,,,,,
586.7,B,18,B-,3,3,1,,
586.7,B,19,B+,3,3,1,,
588.1,B,18,BO,0,,,,
588.1,B,19,BI,0,,,,
593.7,B,19,OW,,,,,
593.7,B,20,EE,1,,,,
593.7,B,20,KE,1,,,,
593.7,B,19,B-,3,3,1,,
593.7,B,20,G+,1,3,3,1,
593.7,B,20,LL,1,3,,,
593.7,B,19,BO,0,,,,
593.7,B,20,BI,0,,,,
593.7,B,20,KL,1,,,,
600.0,B,1,B+,15,15,1,,
600.0,B,1,OW,,,,,
600.0,B,1,B-,15,15,1,,
600.0,B,4,B+,15,15,1,,
600.0,B,1,B+,16,16,1,,
600.0,B,1,BO,0,,,,
600.0,B,4,BI,0,,,,
600.0,B,4,AB,15,15,,,
600.0,B,1,B+,17,17,1,,
600.0,B,1,OW,,,,,
600.0,B,1,B+,18,18,1,,
600.0,B,1,B+,19,19,1,,
600.0,B,1,B+,20,20,1,,
600.0,B,1,B+,21,21,1,,
600.0,B,1,B+,22,22,1,,
600.0,B,1,B+,23,23,1,,
600.0,B,1,B+,24,24,1,,
600.0,B,1,B+,25,25,1,,
600.0,B,1,B+,26,26,1,,
600.0,B,1,B+,27,27,1,,
600.0,B,1,B+,28,28,1,,
614.3,B,4,AE,15,15,,,
614.3,B,4,OW,,,,,
614.3,B,4,B-,15,15,1,,
614.3,B,5,B+,15,15,1,,
614.3,B,1,B-,16,16,1,,
614.3,B,4,B+,16,16,1,,
614.3,B,1,BO,0,,,,
614.3,B,4,BI,0,,,,
614.3,B,4,AB,16,16,,,
614.3,B,1,OW,,,,,
615.6,B,4,AE,16,16,,,
